Array Size, Basic Operations, Execution Time(ms)
336000,2116203,12
336000,817532,6
336000,587721,3
336000,936566,6
336000,897590,4
336000,966253,6
336000,646913,4
336000,856657,6
336000,1179968,6
341000,1435999,8
341000,1120612,7
341000,1705434,8
341000,866739,7
341000,1031139,6
341000,1166560,6
341000,1163873,5
341000,843152,4
341000,1292322,7
341000,805744,6
346000,630557,4
346000,1489550,10
346000,1396747,8
346000,1227527,6
346000,1359266,6
346000,1010681,5
346000,856463,4
346000,1188891,6
346000,1473455,6
346000,1518218,9
351000,1240478,8
351000,1318798,7
351000,961636,5
351000,858984,5
351000,873791,4
351000,1374812,7
351000,982101,7
351000,745345,5
351000,1055040,7
351000,1621219,7
356000,1047901,5
356000,1071520,7
356000,1644923,9
356000,1368598,9
356000,1154622,7
356000,1938884,11
356000,1005289,7
356000,1165257,7
356000,1259141,6
356000,1117824,6
361000,1172488,5
361000,1150345,5
361000,915699,4
361000,1271469,6
361000,641294,4
361000,1218565,8
361000,1176996,5
361000,1190110,7
361000,1446513,6
361000,1614028,10
366000,1284548,6
366000,1300423,9
366000,986124,4
366000,1279828,5
366000,1359223,7
366000,1089645,7
366000,1076243,6
366000,1449214,10
366000,1277335,6
366000,1104451,7
371000,1487165,9
371000,910240,5
371000,1346568,6
371000,1670049,9
371000,919117,6
371000,1817277,9
371000,1911356,11
371000,762964,6
371000,810160,6
371000,1426128,11
376000,1691389,8
376000,1338797,6
376000,2047819,11
376000,1145602,6
376000,1282166,6
376000,1483430,8
376000,1070106,6
376000,1529940,10
376000,1070280,5
376000,865502,5
381000,1279920,5
381000,1711936,7
381000,755592,5
381000,1334709,9
381000,1065014,8
381000,928363,7
381000,1454460,6
381000,1087834,5
381000,1668251,8
381000,1531019,8
386000,1642711,8
386000,858588,6
386000,1292354,5
386000,992409,6
386000,840110,11
386000,833160,5
386000,896654,4
386000,1513599,9
386000,2004250,8
386000,1517747,8
391000,1023522,6
391000,1495148,7
391000,926097,7
391000,1212115,8
391000,1481610,6
391000,1846154,9
391000,950137,6
391000,2216290,9
391000,1061684,8
391000,1174728,6
396000,1012445,6
396000,1022278,5
396000,1236657,7
396000,1208014,5
396000,996241,5
396000,1510529,9
396000,1325143,8
396000,1111604,7
396000,789870,4
396000,1804974,9
401000,1458948,7
401000,1134891,6
401000,1439062,8
401000,992733,6
401000,1398366,7
401000,1245017,7
401000,2325618,10
401000,1690384,9
401000,2278280,9
401000,703601,4
406000,1730274,8
406000,1078314,5
406000,1228124,7
406000,1650380,10
406000,1374931,7
406000,695769,5
406000,1095027,5
406000,1403959,8
406000,1833034,8
406000,1527668,8
411000,1747154,7
411000,1120706,5
411000,1331689,6
411000,1482695,7
411000,1855967,9
411000,994975,6
411000,1235205,7
411000,1443957,9
411000,785759,4
411000,1143741,8
416000,861848,5
416000,1615562,11
416000,1323396,7
416000,1538278,9
416000,1601373,11
416000,1597804,8
416000,2015490,11
416000,1893210,9
416000,1046390,6
416000,1167004,9
421000,1393418,9
421000,1052162,6
421000,1709023,8
421000,1337890,6
421000,1121321,4
421000,2056582,10
421000,1403379,10
421000,1515345,8
421000,2207256,10
421000,982548,7
426000,1590781,11
426000,1036159,8
426000,1815375,8
426000,1036944,8
426000,1338762,7
426000,2171553,11
426000,1414411,7
426000,1134700,7
426000,927438,6
426000,1584484,12
431000,2122192,10
431000,1048048,7
431000,1576520,10
431000,1219753,6
431000,1924449,12
431000,1643042,9
431000,991075,6
431000,1565903,8
431000,1002345,5
431000,1201749,8
436000,1009815,5
436000,1911982,9
436000,1676434,7
436000,1120225,6
436000,1483652,8
436000,1244315,10
436000,2071356,15
436000,1387023,9
436000,1447642,9
436000,2421676,8
441000,1657913,7
441000,1669865,7
441000,1370862,8
441000,2050627,10
441000,1184777,8
441000,1658973,9
441000,2305720,14
441000,804646,5
441000,1268537,7
441000,1137137,9
446000,1838291,8
446000,1041962,7
446000,1324534,8
446000,1370392,7
446000,1221833,7
446000,2392185,9
446000,950932,8
446000,1490850,9
446000,1372268,7
446000,902352,6
451000,1239832,8
451000,1108450,6
451000,1953133,9
451000,1424812,7
451000,1418507,8
